t_s,q1_sim,q1_ref,q2_sim,q2_ref,dq1_sim,dq1_ref,dq2_sim,dq2_ref,tau1,tau2
14.5629999999974,1.254704426814,1.24999933702448,1.24603280443988,1.25000047355395,-0.00185146840304308,6.62975524735628e-07,0.00337567360847855,-4.73553946239734e-07,1.12652018987123,-4.17879351736106
14.5639999999974,1.2547025753456,1.24999933768712,1.24603618011349,1.25000047308063,-0.00185832371573585,6.62312880588186e-07,0.00348478741282983,-4.73080628991562e-07,0.94342198188449,-4.36556617682234
14.5649999999974,1.25470071702188,1.2499993383491,1.2460396649009,1.25000047260778,-0.00186359722378932,6.61650898753681e-07,0.00355661899967536,-4.72607784824058e-07,0.648625510760442,-4.6625912301681
14.5659999999974,1.25469885342466,1.24999933901042,1.2460432215199,1.25000047213541,-0.00186689878581152,6.6098957857013e-07,0.00356972351071069,-4.72135413264378e-07,0.354749131303502,-4.95642772639918
14.5669999999974,1.25469698652587,1.24999933967108,1.24604679124341,1.25000047166351,-0.00186858884102521,6.60328919376212e-07,0.00352508310409977,-4.71663513840151e-07,0.174059647715458,-5.13485277076309
14.5679999999974,1.25469511793703,1.24999934033108,1.24605031632651,1.25000047119209,-0.00186964071770546,6.59668920511268e-07,0.00344573176326842,-4.71192086079477e-07,0.175590209203528,-5.12972685560657
14.5689999999974,1.25469324829632,1.24999934099042,1.24605376205828,1.25000047072113,-0.00187126884147861,6.590095813153e-07,0.00336795706103013,-4.70721129510929e-07,0.35877199256111,-4.94302083572442
14.5699999999974,1.25469137702747,1.2499993416491,1.24605713001534,1.25000047025064,-0.00187446486237093,6.58350901128968e-07,0.00332743951363206,-4.70250643663549e-07,0.65365147306616,-4.64606312871065
14.5709999999974,1.25468950256261,1.24999934230712,1.24606045745485,1.25000046978063,-0.00187961888436562,6.57692879293593e-07,0.00334562382029198,-4.69780628066852e-07,0.947610293626056,-4.35229468403246
14.5719999999974,1.25468762294373,1.24999934296448,1.24606380307867,1.25000046931108,-0.0018863704693498,6.57035515151151e-07,0.00342152770548266,-4.69311082250822e-07,1.12838165004914,-4.17393839643018
14.5729999999974,1.25468573657326,1.24999934362119,1.24606722460638,1.25000046884201,-0.00189374632183284,6.56378808044279e-07,0.00353211710235519,-4.68842005745914e-07,1.12693239495881,-4.17913377489453
14.5739999999974,1.25468384282694,1.24999934427724,1.24607075672348,1.2500004683734,-0.00190053206199615,6.5572275731627e-07,0.0036411043682439,-4.6837339808305e-07,0.943831354192049,-4.36590996640037
14.5749999999974,1.25468194229487,1.24999934493264,1.24607439782785,1.25000046790526,-0.00190573608156427,6.55067362311073e-07,0.00371280891206916,-4.67905258793624e-07,0.64903205486657,-4.66293855498319
14.5759999999974,1.25468003655879,1.24999934558738,1.24607811063676,1.25000046743759,-0.00190896830232335,6.54412622373293e-07,0.0037257859419031,-4.67437587409495e-07,0.355152855580551,-4.95677859208576
14.5769999999974,1.25467812759049,1.24999934624146,1.2460818364227,1.25000046697038,-0.001910589161914,6.5375853684819e-07,0.00368101761187527,-4.66970383462993e-07,0.174460560507676,-5.13520718279057
14.5779999999974,1.25467621700133,1.24999934689489,1.24608551744031,1.25000046650365,-0.00191157192239357,6.53105105081678e-07,0.00360153783205925,-4.66503646486913e-07,0.175988315048148,-5.13008481663295
14.5789999999974,1.25467430542941,1.24999934754767,1.24608911897815,1.25000046603738,-0.00191313090347811,6.52452326420325e-07,0.00352363406033082,-4.66037376014518e-07,0.359167289855285,-4.94338234402597
14.5799999999974,1.2546723922985,1.2499993481998,1.24609264261221,1.25000046557157,-0.0019162576499904,6.51800200211354e-07,0.00348298670035044,-4.65571571579538e-07,0.654043953993311,-4.64642817830374
14.5809999999974,1.25467047604085,1.24999934885127,1.24609612559891,1.25000046510623,-0.00192134220191428,6.51148725802637e-07,0.00350104038453018,-4.65106232716169e-07,0.947999946597543,-4.35266326635764
14.5819999999974,1.25466855469865,1.2499993495021,1.24609962663929,1.25000046464136,-0.00192802412337314,6.504979025427e-07,0.00357681284256536,-4.64641358959071e-07,1.12876846348968,-4.17431050312525
14.5829999999974,1.25466662667453,1.24999935015227,1.24610320345213,1.25000046417695,-0.00193533018718103,6.49847729780719e-07,0.00368727008367714,-4.64176949843371e-07,1.12731636122495,-4.1795094004078
14.5839999999974,1.25466469134434,1.24999935080179,1.24610689072222,1.250000463713,-0.00194204612236338,6.49198206866523e-07,0.00379612458375233,-4.63713004904659e-07,0.944212471981256,-4.36628910963557
14.5849999999974,1.25466274929822,1.24999935145067,1.2461106868468,1.25000046324952,-0.00194718042870604,6.48549333150588e-07,0.00386769586780008,-4.63249523678991e-07,0.649410329236545,-4.66332121915782
14.5859999999974,1.25466080211779,1.24999935209889,1.24611455454267,1.25000046278651,-0.00195034309390275,6.47901107984039e-07,0.00388053921315408,-4.62786505702885e-07,0.355528295492413,-4.95716478303525
14.5869999999974,1.2546588517747,1.24999935274647,1.24611843508188,1.25000046232395,-0.00195189455378762,6.47253530718653e-07,0.00383563676957283,-4.62323950513324e-07,0.174833174909127,-5.13559690611374
14.5879999999974,1.25465689988014,1.2499993533934,1.24612227071865,1.25000046186186,-0.00195280800111958,6.46606600706852e-07,0.00375602237039128,-4.61861857647751e-07,0.176358108914531,-5.13047807499646
14.5889999999974,1.25465494707214,1.24999935403968,1.24612602674102,1.25000046140023,-0.00195429764493997,6.45960317301705e-07,0.00367798335339941,-4.61400226644075e-07,0.35953426169526,-4.94377913555825
14.5899999999974,1.2546529927745,1.24999935468532,1.24612970472438,1.25000046093906,-0.00195735492024545,6.45314679856929e-07,0.00363720000473785,-4.60939057040663e-07,0.65440809590926,-4.64682849662651
14.5909999999974,1.25465103541958,1.24999935533031,1.24613334192438,1.25000046047835,-0.00196236980029982,6.44669687726887e-07,0.00365511688719995,-4.60478348376348e-07,0.94836124667151,-4.35306710247986
14.5919999999974,1.25464907304977,1.24999935597466,1.24613699704127,1.2500004600181,-0.00196898185168321,6.44025340266586e-07,0.00373075173607183,-4.60018100190418e-07,1.12912690988887,-4.17471784819565
14.5929999999974,1.25464710406792,1.24999935661836,1.246140727793,1.25000045955831,-0.00197621791858604,6.43381636831679e-07,0.00384107064008157,-4.59558312022628e-07,1.12767194621536,-4.17992024856451
14.5939999999974,1.25464512785,1.24999935726142,1.24614456886364,1.25000045909898,-0.00198286384361614,6.42738576778463e-07,0.00394978619883807,-4.59098983413188e-07,0.944565194425555,-4.36670345963987
14.5949999999974,1.25464314498616,1.24999935790384,1.24614851864984,1.25000045864011,-0.001987928239226,6.42096159463877e-07,0.00402121805840102,-4.58640113902769e-07,0.649760194627705,-4.66373907430921
14.5959999999973,1.25464115705792,1.24999935854562,1.2461525398679,1.2500004581817,-0.00199102116171945,6.41454384245504e-07,0.00403392156821108,-4.58181703032503e-07,0.355875313399979,-4.95758614929023
14.5969999999973,1.25463916603676,1.24999935918675,1.24615657378947,1.25000045772375,-0.00199250304490898,6.40813250481568e-07,0.00398887887334435,-4.57723750343977e-07,0.175177354877783,-5.13602178923384
14.5979999999973,1.25463717353371,1.24999935982724,1.24616056266834,1.25000045726626,-0.00199334700919435,6.40172757530937e-07,0.00390912372702667,-4.57266255379241e-07,0.17669945634832,-5.13090647767426
14.5989999999973,1.25463518018671,1.2499993604671,1.24616447179207,1.25000045680922,-0.00199476714821649,6.39532904753116e-07,0.00383094334185277,-4.56809217680797e-07,0.359872775262506,-4.94421105572144
14.5999999999973,1.25463318541956,1.24999936110631,1.24616830273541,1.25000045635264,-0.00199775478256459,6.38893691508254e-07,0.0037900178815649,-4.5635263679161e-07,0.654743767564982,-4.64726392757333
14.6009999999973,1.25463118766478,1.24999936174488,1.24617209275329,1.25000045589651,-0.0020026998160861,6.38255117157136e-07,0.00380779183653687,-4.55896512255097e-07,0.948694064233566,-4.35350603472202
14.6019999999973,1.25462918496496,1.24999936238282,1.24617590054513,1.25000045544084,-0.00200924181803915,6.37617181061188e-07,0.00388328294802688,-4.55440843615134e-07,1.12945686124619,-4.17516027244836
14.6029999999973,1.25462717572314,1.24999936302012,1.24617978382808,1.25000045498563,-0.00201640770703203,6.36979882582475e-07,0.00399345738766328,-4.54985630416054e-07,1.12799902352179,-4.18036615863704
14.6039999999973,1.25462515931543,1.24999936365678,1.24618377728547,1.25000045453087,-0.00202298344395877,6.36343221083697e-07,0.00410202788391259,-4.54530872202641e-07,0.944889396739932,-4.36715285415889
14.6049999999973,1.25462313633199,1.2499993642928,1.24618787931335,1.25000045407657,-0.00202797775849677,6.35707195928194e-07,0.0041733142087948,-4.54076568520139e-07,0.650081527874516,-4.66419195661342
14.6059999999973,1.25462110835423,1.24999936492819,1.24619205262756,1.25000045362272,-0.00203100077824397,6.35071806479939e-07,0.00418587178669146,-4.53622718914242e-07,0.356193787758251,-4.95804252551772
14.6069999999973,1.25461907735345,1.24999936556295,1.24619623849934,1.25000045316932,-0.00203241293476606,6.34437052103544e-07,0.00414068275766341,-4.53169322931103e-07,0.17549298049844,-5.13648166528107
14.6079999999973,1.25461704494052,1.24999936619707,1.2462003791821,1.25000045271638,-0.0020331872730714,6.33802932164254e-07,0.00406078079149331,-4.52716380117324e-07,0.177012239033849,-5.1313698562453
14.6089999999973,1.25461501175325,1.24999936683055,1.24620443996289,1.25000045226389,-0.0020345377667233,6.33169446027949e-07,0.0039824529705262,-4.52263890019963e-07,0.360182713839203,-4.94467793458624
14.6099999999973,1.25461297721548,1.24999936746341,1.24620842241586,1.25000045181185,-0.00203745561735796,6.32536593061142e-07,0.00394137933125793,-4.5181185218653e-07,0.655050853852799,-4.64773429966528
14.6109999999973,1.25461093975986,1.24999936809563,1.2462123637952,1.25000045136027,-0.00204233065674116,6.31904372630981e-07,0.00395900428888279,-4.51360266164987e-07,0.948998285801769,-4.35397989007299
14.6119999999973,1.2546088974292,1.24999936872722,1.24621632279948,1.25000045090913,-0.00204880245702573,6.31272784105246e-07,0.00403434559100366,-4.50909131503747e-07,1.12975820568656,-4.17563760134844
14.6129999999973,1.25460684862675,1.24999936935817,1.24622035714508,1.25000045045845,-0.00205589801425488,6.30641826852347e-07,0.00414436949551409,-4.50458447751677e-07,1.12829748291051,-4.18084695455958
14.6139999999973,1.25460479272873,1.2499993699885,1.24622450151457,1.25000045000821,-0.00206240341226599,6.30011500241328e-07,0.00425278886482475,-4.50008214458092e-07,0.94518497029555,-4.36763711559741
14.6149999999973,1.25460273032532,1.2499993706182,1.24622875430344,1.25000044955843,-0.00206732750248201,6.29381803641862e-07,0.00432392360178479,-4.49558431172758e-07,0.650374221981926,-4.66467968696429
